Ano,Grupo,Quadrilha,Etapa,TotalEtapa
2023,GRUPO DE ACESSO,CAIPIRADA,3ª ETAPA,297.4
2023,GRUPO DE ACESSO,XIQUE XIQUE,3ª ETAPA,297.5
2023,GRUPO DE ACESSO,FORNALHA,3ª ETAPA,296.9
2023,GRUPO DE ACESSO,VAI MAS NÃO VAI,3ª ETAPA,293.2
2024,GRUPO DE ACESSO,VAI MAS NÃO VAI,1ª ETAPA,293.8
2024,GRUPO DE ACESSO,TICO TICO NO FUBÁ,1ª ETAPA,286.7
2024,GRUPO DE ACESSO,ESPALHA BRASA,1ª ETAPA,287.1
2024,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,1ª ETAPA,286.9
2024,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,1ª ETAPA,288.9
2024,GRUPO DE ACESSO,CHINELO DE COURO,1ª ETAPA,297.6
2024,GRUPO DE ACESSO,BAMBOLEÁ,1ª ETAPA,282.0
2024,GRUPO DE ACESSO,VAI MAS NÃO VAI,2ª ETAPA,297.9
2024,GRUPO DE ACESSO,TICO TICO NO FUBÁ,2ª ETAPA,294.7
2024,GRUPO DE ACESSO,ESPALHA BRASA,2ª ETAPA,295.7
2024,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,2ª ETAPA,295.0
2024,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,2ª ETAPA,293.6
2024,GRUPO DE ACESSO,CHINELO DE COURO,2ª ETAPA,296.0
2024,GRUPO DE ACESSO,VAI MAS NÃO VAI,3ª ETAPA,296.8
2024,GRUPO DE ACESSO,TICO TICO NO FUBÁ,3ª ETAPA,298.9
2024,GRUPO DE ACESSO,ESPALHA BRASA,3ª ETAPA,295.8
2024,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,3ª ETAPA,294.4
2024,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,3ª ETAPA,289.4
2024,GRUPO DE ACESSO,CHINELO DE COURO,3ª ETAPA,291.7
2024,GRUPO DE ACESSO,BAMBOLEÁ,3ª ETAPA,294.1
2024,GRUPO DE ACESSO,VAI MAS NÃO VAI,4ª ETAPA,296.7
2024,GRUPO DE ACESSO,TICO TICO NO FUBÁ,4ª ETAPA,297.7
2024,GRUPO DE ACESSO,ESPALHA BRASA,4ª ETAPA,294.5
2024,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,4ª ETAPA,296.5
2024,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,4ª ETAPA,295.0
2024,GRUPO DE ACESSO,BAMBOLEÁ,4ª ETAPA,288.9
2025,GRUPO DE ACESSO,JUNINA MATULÃO,1ª ETAPA,179.3
2025,GRUPO DE ACESSO,CHINELO DE COURO,1ª ETAPA,178.5
2025,GRUPO DE ACESSO,XIQUE XIQUE,1ª ETAPA,178.1
2025,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,1ª ETAPA,178.6
2025,GRUPO DE ACESSO,FORNALHA,1ª ETAPA,177.1
