Ano,Grupo,Quadrilha,Etapa,Quesito,NotaQuesitoEtapa
2022,GRUPO DE ACESSO,ELITE DO CERRADO,1ª ETAPA,CASAL DE NOIVOS,30.0
2022,GRUPO DE ACESSO,EITA BAGACEIRA,1ª ETAPA,CASAL DE NOIVOS,30.0
2022,GRUPO DE ACESSO,PINGA EM MIM,1ª ETAPA,CASAL DE NOIVOS,29.799999999999997
2022,GRUPO DE ACESSO,CHINELO DE COURO,1ª ETAPA,CASAL DE NOIVOS,30.0
2022,GRUPO DE ACESSO,COISAS DA ROÇA,1ª ETAPA,CASAL DE NOIVOS,29.6
2022,GRUPO DE ACESSO,AQUARELA NORDESTINA,1ª ETAPA,CASAL DE NOIVOS,29.500000000000004
2022,GRUPO DE ACESSO,MALA VÉIA,1ª ETAPA,CASAL DE NOIVOS,28.700000000000003
2022,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,1ª ETAPA,CASAL DE NOIVOS,28.400000000000002
2022,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,1ª ETAPA,CASAL DE NOIVOS,28.700000000000006
2022,GRUPO DE ACESSO,ESPALHA BRASA,1ª ETAPA,CASAL DE NOIVOS,29.299999999999997
2022,GRUPO DE ACESSO,SACA ROLHA,1ª ETAPA,CASAL DE NOIVOS,27.600000000000005
2022,GRUPO DE ACESSO,FLOR DO MAMULENGO,1ª ETAPA,CASAL DE NOIVOS,28.9
2022,GRUPO DE ACESSO,TRISCOU QUEIMOU,1ª ETAPA,CASAL DE NOIVOS,27.5
2022,GRUPO DE ACESSO,ELITE DO CERRADO,1ª ETAPA,TRILHA,30.0
2022,GRUPO DE ACESSO,EITA BAGACEIRA,1ª ETAPA,TRILHA,30.0
2022,GRUPO DE ACESSO,COISAS DA ROÇA,1ª ETAPA,TRILHA,30.000000000000004
2022,GRUPO DE ACESSO,PINGA EM MIM,1ª ETAPA,TRILHA,29.999999999999996
2022,GRUPO DE ACESSO,CHINELO DE COURO,1ª ETAPA,TRILHA,30.000000000000004
2022,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,1ª ETAPA,TRILHA,29.799999999999994
2022,GRUPO DE ACESSO,AQUARELA NORDESTINA,1ª ETAPA,TRILHA,30.0
2022,GRUPO DE ACESSO,MALA VÉIA,1ª ETAPA,TRILHA,29.300000000000004
2022,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,1ª ETAPA,TRILHA,28.400000000000002
2022,GRUPO DE ACESSO,SACA ROLHA,1ª ETAPA,TRILHA,27.700000000000003
2022,GRUPO DE ACESSO,ESPALHA BRASA,1ª ETAPA,TRILHA,29.299999999999997
2022,GRUPO DE ACESSO,FLOR DO MAMULENGO,1ª ETAPA,TRILHA,28.299999999999997
2022,GRUPO DE ACESSO,TRISCOU QUEIMOU,1ª ETAPA,TRILHA,27.5
2023,GRUPO DE ACESSO,MALA VÉIA,1ª ETAPA,COREOGRAFIA,49.1
2023,GRUPO DE ACESSO,CAIPIRADA,1ª ETAPA,COREOGRAFIA,48.9
2023,GRUPO DE ACESSO,FORNALHA,1ª ETAPA,COREOGRAFIA,48.5
2023,GRUPO DE ACESSO,XIQUE XIQUE,1ª ETAPA,COREOGRAFIA,47.599999999999994
2023,GRUPO DE ACESSO,VAI MAS NÃO VAI,1ª ETAPA,COREOGRAFIA,47.0
2023,GRUPO DE ACESSO,TICO TICO NO FUBÁ,1ª ETAPA,COREOGRAFIA,48.49999999999999
